especie,ilha,comprimento_bico_mm,profundidade_bico_mm,tamanho_asa_mm,massa_corporal_g,sexo
Chinstrap,Dream,45.2,16.6,191,3250,Fêmea
Chinstrap,Dream,49.8,17.3,198,3675,Fêmea
Adelie,Dream,36,18.5,186,3100,Fêmea
Gentoo,Biscoe,48.4,14.6,213,5850,Macho
Adelie,Torgersen,36.7,19.3,193,3450,Fêmea
Adelie,Biscoe,41.6,18,192,3950,Macho
Adelie,Torgersen,40.2,17,176,3450,Fêmea
Adelie,Dream,38.9,18.8,190,3600,Fêmea
Chinstrap,Dream,51.7,20.3,194,3775,Macho
Gentoo,Biscoe,46.2,14.4,214,4650,Macho
Gentoo,Biscoe,52.1,17,230,5550,Macho
Adelie,Biscoe,38.2,18.1,185,3950,Macho
Gentoo,Biscoe,45.4,14.6,211,4800,Fêmea
Gentoo,Biscoe,47.7,15,216,4750,Fêmea
Adelie,Torgersen,35.7,17,189,3350,Fêmea
Gentoo,Biscoe,45.1,14.5,215,5000,Fêmea
Gentoo,Biscoe,46.2,14.1,217,4375,Fêmea
Chinstrap,Dream,52,20.7,210,4800,Macho
Gentoo,Biscoe,52.2,17.1,228,5400,Macho
Gentoo,Biscoe,46.5,14.8,217,5200,Fêmea
Adelie,Dream,40.8,18.9,208,4300,Macho
Adelie,Biscoe,37.7,16,183,3075,Fêmea
Chinstrap,Dream,49,19.6,212,4300,Macho
Chinstrap,Dream,46.9,16.6,192,2700,Fêmea
Gentoo,Biscoe,48.6,16,230,5800,Macho
Gentoo,Biscoe,44.5,14.3,216,4100,Fêmea
Adelie,Biscoe,35,17.9,192,3725,Fêmea
Gentoo,Biscoe,49.6,15,216,4750,Macho
Gentoo,Biscoe,44.5,14.7,214,4850,Fêmea
Adelie,Dream,39.2,18.6,190,4250,Macho
